Date,Open,High,Low,Close,Adj Close,Volume,Currency
11/14/2018,206.533997,207.044998,174.084,181.397003,181.397003,2595330000,Etherium
11/15/2018,181.899002,184.251007,170.188995,180.806,180.806,2638410000,Etherium
11/16/2018,180.865005,181.350006,173.126007,175.177002,175.177002,2015330000,Etherium
11/17/2018,175.360001,175.850998,172.869003,174.001007,174.001007,1832800000,Etherium
11/18/2018,174.175003,179.151993,174.175003,177.067001,177.067001,1810920000,Etherium
11/19/2018,177.179001,177.179001,147.850998,149.175003,149.175003,2745160000,Etherium
11/20/2018,148.811005,151.253006,126.360001,130.339005,130.339005,3134410000,Etherium
11/21/2018,131.141998,138.889999,125.758003,136.701004,136.701004,2685930000,Etherium
11/22/2018,136.811005,137.740005,126.706001,126.706001,126.706001,1792150000,Etherium
11/23/2018,126.418999,127.028,119.558998,123.295998,123.295998,1998010000,Etherium
11/24/2018,123.304001,126.788002,110.824997,113.494003,113.494003,1800960000,Etherium
11/25/2018,113.125999,118.880997,101.769997,116.449997,116.449997,2466750000,Etherium
11/26/2018,116.343002,118.200996,104.892998,108.334999,108.334999,2139490000,Etherium
11/27/2018,107.913002,111.842003,102.452003,110.010002,110.010002,2320010000,Etherium
11/28/2018,110.197998,126.047997,110.197998,122.438004,122.438004,2673470000,Etherium
11/29/2018,122.72155,123.229721,115.297691,117.542648,117.542648,2196099151,Etherium
11/30/2018,117.728096,119.423767,111.744965,113.171417,113.171417,2020748396,Etherium
12/1/2018,113.397758,120.841454,111.619125,118.635559,118.635559,2131475768,Etherium
12/2/2018,118.26815,120.56205,116.092041,116.388901,116.388901,1856199149,Etherium
12/3/2018,116.378761,116.619064,107.415657,108.925018,108.925018,1772756193,Etherium
12/4/2018,108.803162,113.142914,107.402718,110.214188,110.214188,1748116495,Etherium
12/5/2018,110.335518,110.59861,102.475555,102.475555,102.475555,1990157607,Etherium
12/6/2018,102.450592,104.103493,91.761055,91.761055,91.761055,2310716932,Etherium
12/7/2018,91.649834,96.089844,83.469719,93.294563,93.294563,2554304530,Etherium
12/8/2018,93.41008,97.059883,86.825668,92.159637,92.159637,1855759401,Etherium
12/9/2018,92.035431,98.900032,91.031281,95.142059,95.142059,1875567180,Etherium
12/10/2018,94.992172,96.257301,90.654251,91.685654,91.685654,1756437577,Etherium
12/11/2018,91.578934,92.782326,87.688408,88.945305,88.945305,1707497898,Etherium
12/12/2018,88.610703,92.240555,88.263557,90.5933,90.5933,1533050103,Etherium
12/13/2018,90.655228,91.111603,85.518311,86.539314,86.539314,1754475622,Etherium
12/14/2018,86.630356,87.144943,83.226479,84.308296,84.308296,1651491877,Etherium
12/15/2018,84.279694,85.342743,82.829887,84.440811,84.440811,1496176898,Etherium
12/16/2018,84.469406,87.568123,84.469406,85.2621,85.2621,1565817037,Etherium
12/17/2018,85.382111,96.805054,85.382111,95.133827,95.133827,2101453024,Etherium
12/18/2018,95.10804,101.320236,92.968521,101.112457,101.112457,2277514076,Etherium
12/19/2018,101.683846,108.549057,100.69146,101.268578,101.268578,2456482115,Etherium
12/20/2018,101.090439,117.170128,100.639961,116.216873,116.216873,3063842618,Etherium
12/21/2018,115.835403,119.094162,107.584793,109.496231,109.496231,2632539990,Etherium
12/22/2018,109.45594,116.759499,107.503166,116.759499,116.759499,2338772939,Etherium
12/23/2018,117.273895,133.075302,117.273895,130.765259,130.765259,3579715061,Etherium
12/24/2018,130.641663,157.668701,130.641663,140.238007,140.238007,4370343387,Etherium
12/25/2018,140.997589,140.997589,125.113289,129.844345,129.844345,3298280609,Etherium
12/26/2018,129.888824,136.677246,126.292908,131.865631,131.865631,2720469126,Etherium
12/27/2018,131.923584,132.677063,115.650101,116.575912,116.575912,2612804378,Etherium
12/28/2018,116.898201,137.647018,115.69313,137.647018,137.647018,3130201009,Etherium
12/29/2018,138.468781,147.034332,134.570175,138.018341,138.018341,3169029972,Etherium
12/30/2018,137.627457,140.689087,133.98233,139.859451,139.859451,2660086834,Etherium
12/31/2018,140.031067,140.181152,132.519394,133.368256,133.368256,2358360234,Etherium
1/1/2019,133.418152,141.397507,132.650711,140.819412,140.819412,2258709868,Etherium
1/2/2019,141.519516,156.929138,140.650955,155.047684,155.047684,3328240369,Etherium
1/3/2019,155.196045,155.863052,147.198364,149.13501,149.13501,2676164880,Etherium
1/4/2019,148.912888,156.878983,147.907104,154.58194,154.58194,3126192535,Etherium
1/5/2019,154.337418,160.82489,154.337418,155.638596,155.638596,3338211928,Etherium
1/6/2019,155.80423,159.371445,152.085922,157.746201,157.746201,3231294371,Etherium
1/7/2019,157.809494,158.450424,151.150726,151.699219,151.699219,2712108388,Etherium
1/8/2019,151.967545,153.625778,148.66954,150.359634,150.359634,2459808140,Etherium
1/9/2019,150.554688,153.622253,150.288376,150.803116,150.803116,2369241197,Etherium
1/10/2019,150.843506,152.14827,126.529373,128.625183,128.625183,3397734456,Etherium
